0	4643	4740	3775	174	1974	2184	853	4964	4814	4819
4643	0	4629	3066	4617	4574	4043	4628	4704	4617	4608
4740	4629	0	4046	4839	4706	4553	4753	314	416	369
3775	3066	4046	0	3734	3848	3109	3796	4163	3988	4003
174	4617	4839	3734	0	1978	2186	864	5012	4868	4879
1974	4574	4706	3848	1978	0	1811	1429	4955	4762	4799
2184	4043	4553	3109	2186	1811	0	2006	4805	4595	4651
853	4628	4753	3796	864	1429	2006	0	4990	4817	4835
4964	4704	314	4163	5012	4955	4805	4990	0	276	237
4814	4617	416	3988	4868	4762	4595	4817	276	0	389
4819	4608	369	4003	4879	4799	4651	4835	237	389	0
