0	2862	226	2779	2915	3030	2772	1128	235	163	270
2862	0	2911	1244	2980	3109	1441	3003	3002	2851	2961
226	2911	0	2828	2880	3004	2795	1130	215	239	243
2779	1244	2828	0	2842	2946	1180	2875	2936	2758	2882
2915	2980	2880	2842	0	365	2836	2058	3086	2920	3037
3030	3109	3004	2946	365	0	2961	2199	3198	3026	3162
2772	1441	2795	1180	2836	2961	0	2879	2907	2733	2868
1128	3003	1130	2875	2058	2199	2879	0	1246	1119	1247
235	3002	215	2936	3086	3198	2907	1246	0	233	109
163	2851	239	2758	2920	3026	2733	1119	233	0	262
270	2961	243	2882	3037	3162	2868	1247	109	262	0
