0	5720	5627	5268	5693	5832	5633	5714	5746	359	5605
5720	0	2927	2812	2772	2896	1115	2390	3075	5720	2986
5627	2927	0	2740	2905	3046	2833	1157	177	5584	202
5268	2812	2740	0	2729	2874	2496	2756	2892	5286	2780
5693	2772	2905	2729	0	435	2730	2880	3013	5698	2997
5832	2896	3046	2874	435	0	2870	3021	3123	5852	3129
5633	1115	2833	2496	2730	2870	0	2226	2982	5656	2871
5714	2390	1157	2756	2880	3021	2226	0	1211	5714	1184
5746	3075	177	2892	3013	3123	2982	1211	0	5722	119
359	5720	5584	5286	5698	5852	5656	5714	5722	0	5593
5605	2986	202	2780	2997	3129	2871	1184	119	5593	0
