0	4361	169	3719	188	238	4250	806	191	181	201
4361	0	4410	2033	4415	4508	3922	4477	4468	4403	4448
169	4410	0	3732	229	285	4307	826	149	210	155
3719	2033	3732	0	3766	3889	3073	3371	3863	3729	3767
188	4415	229	3766	0	270	4275	835	270	230	286
238	4508	285	3889	270	0	4429	932	295	279	325
4250	3922	4307	3073	4275	4429	0	3759	4407	4232	4280
806	4477	826	3371	835	932	3759	0	890	763	867
191	4468	149	3863	270	295	4407	890	0	232	129
181	4403	210	3729	230	279	4232	763	232	0	249
201	4448	155	3767	286	325	4280	867	129	249	0
