0	3778	311	3672	3625	3716	3678	1404	267	257	329
3778	0	3767	1193	2543	2637	1174	3424	3937	3805	3894
311	3767	0	3650	3593	3693	3670	1432	264	354	316
3672	1193	3650	0	2474	2542	1420	3323	3867	3680	3757
3625	2543	3593	2474	0	344	2433	2565	3912	3676	3790
3716	2637	3693	2542	344	0	2508	2705	3970	3784	3843
3678	1174	3670	1420	2433	2508	0	3328	3832	3652	3761
1404	3424	1432	3323	2565	2705	3328	0	1544	1419	1500
267	3937	264	3867	3912	3970	3832	1544	0	295	160
257	3805	354	3680	3676	3784	3652	1419	295	0	336
329	3894	316	3757	3790	3843	3761	1500	160	336	0
