0	2925	1613	2620	1455	2748	2717	1568	1363	1369	1274
2925	0	1791	1625	1966	1782	1886	1830	2181	2047	2839
1613	1791	0	1863	1032	1707	1931	790	1118	1000	2601
2620	1625	1863	0	1770	1888	1528	1857	2108	1842	2560
1455	1966	1032	1770	0	1945	1893	583	1034	593	2374
2748	1782	1707	1888	1945	0	1969	1745	2102	1966	1829
2717	1886	1931	1528	1893	1969	0	1882	2123	1874	2637
1568	1830	790	1857	583	1745	1882	0	916	711	2530
1363	2181	1118	2108	1034	2102	2123	916	0	808	2268
1369	2047	1000	1842	593	1966	1874	711	808	0	2362
1274	2839	2601	2560	2374	1829	2637	2530	2268	2362	0
