0	4560	4466	4198	4394	4520	4384	4538	4592	4486	4540
4560	0	2714	2417	2525	2629	772	2707	2773	2696	2776
4466	2714	0	2557	2560	2622	2497	1021	204	249	219
4198	2417	2557	0	2300	2399	2157	2464	2670	2535	2611
4394	2525	2560	2300	0	295	2212	1865	2746	2588	2597
4520	2629	2622	2399	295	0	2322	1953	2825	2681	2749
4384	772	2497	2157	2212	2322	0	2440	2578	2478	2570
4538	2707	1021	2464	1865	1953	2440	0	1113	1019	1079
4592	2773	204	2670	2746	2825	2578	1113	0	227	119
4486	2696	249	2535	2588	2681	2478	1019	227	0	246
4540	2776	219	2611	2597	2749	2570	1079	119	246	0
