0	2742	665	2592	1932	2026	2855	1088	1051	1030	681
2742	0	2920	2681	2961	3138	2845	3037	3056	3005	2845
665	2920	0	2646	2071	2045	2830	1151	988	1049	275
2592	2681	2646	0	2642	2679	2430	2558	2622	2632	2684
1932	2961	2071	2642	0	1657	2508	2035	1351	1403	2053
2026	3138	2045	2679	1657	0	2478	1648	1706	1881	2114
2855	2845	2830	2430	2508	2478	0	2638	2771	2932	2868
1088	3037	1151	2558	2035	1648	2638	0	1240	1466	1258
1051	3056	988	2622	1351	1706	2771	1240	0	701	965
1030	3005	1049	2632	1403	1881	2932	1466	701	0	1148
681	2845	275	2684	2053	2114	2868	1258	965	1148	0
