0	4213	941	3498	3517	2635	4090	1720	942	297	973
4213	0	3659	2851	3154	4243	3106	3684	3773	4202	3722
941	3659	0	3111	3160	3260	3733	1041	283	954	283
3498	2851	3111	0	2824	3529	2844	3000	3218	3544	3095
3517	3154	3160	2824	0	2844	2365	2884	3257	3539	3172
2635	4243	3260	3529	2844	0	3977	2522	3450	2664	3357
4090	3106	3733	2844	2365	3977	0	3631	3846	4113	3721
1720	3684	1041	3000	2884	2522	3631	0	1115	1726	1052
942	3773	283	3218	3257	3450	3846	1115	0	952	283
297	4202	954	3544	3539	2664	4113	1726	952	0	941
973	3722	283	3095	3172	3357	3721	1052	283	941	0
